Title,Company,Position,Deadline,Employment Type,Salary,Work Location,Grade,Stack,Link
PC Application UX/UI 항공우주부품 시험 플랫폼 개발 및 유지관리,루미르,서버/백엔드,상시,,,"경기도 용인시 수지구 신수로 767, A동 1103호
지도보기·주소복사",대학교졸업(4년) 이상,"['Java', 'C', 'C++', 'Python', 'Flask']",https://www.jumpit.co.kr/position/3397
블록체인 게임 플랫폼 스마트 컨트랙트 개발자,위메이드,서버/백엔드,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
지도보기·주소복사",무관,"['Solidity', 'Smartcontract', 'Blockchain']",https://www.jumpit.co.kr/position/14807
웹/서버 개발자,브로드웨이브,서버/백엔드,상시,,,"서울특별시 강서구 마곡중앙로 161-8 두산더랜드파크 B동 620호
지도보기·주소복사","대학졸업(2,3년) 이상","['Java', 'AWS IoT Device Management', 'MQTT', 'Amazon EKS', 'AWS', 'Spring Boot', 'JavaScript', 'Ajax', 'HTML5', 'Amazon DynamoDB']",https://www.jumpit.co.kr/position/8537
서버/백엔드 개발자 채용,원투씨엠,서버/백엔드,상시,,,"서울시 서초구 양재동 16-6
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['Spring Boot', 'MySQL', 'REST API', 'RDB', 'AWS', 'AZURE']",https://www.jumpit.co.kr/position/8442
웹 백엔드 개발자,알고리고,서버/백엔드,상시,,,"서울 강남구 봉은사로 319, 4층
지도보기·주소복사","대학졸업(2,3년) 이상(졸업예정자 가능)","['Python', 'Java', 'Node.js', 'AWS', 'TCP/IP', 'MySQL', 'MariaDB', 'PostgreSQL', 'Oracle']",https://www.jumpit.co.kr/position/16634
[신입/경력] Java 개발자 모집,유니원아이앤씨,서버/백엔드,상시,,,"서울 영등포구 국회대로70길 19, 대하빌딩 9층
지도보기·주소복사",무관,"['Java', 'Spring', 'MySQL', 'HTML5', 'CSS 3', 'JavaScript', 'Mybatis']",https://www.jumpit.co.kr/position/15821
웹 에이전시 PHP 및 JAVA 웹 개발자 모집,코워커넷,서버/백엔드,상시,,,"서울 은평구 진흥로 182
지도보기·주소복사",무관,"['PHP', 'MySQL', 'Laravel', 'Linux', 'CodeIgniter', 'Java']",https://www.jumpit.co.kr/position/2303
"PHP, React.js 개발자 모집",아트맵,서버/백엔드,상시,,,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
지도보기·주소복사",무관,"['PHP', 'React']",https://www.jumpit.co.kr/position/8963
게임 플랫폼 백엔드 개발자,밸로프,서버/백엔드,상시,,,"서울시 금천구 디지털로130 601호
지도보기·주소복사",무관,"['PHP', 'MySQL', 'CodeIgniter', 'Laravel', 'REST API', 'Git']",https://www.jumpit.co.kr/position/13888
PHP 개발자 모집,아트맵,서버/백엔드,상시,,,"대구 광역시 북구 호암로 51 삼성창조캠퍼스 벤처오피스동 512호 아트맵
지도보기·주소복사",무관,['PHP'],https://www.jumpit.co.kr/position/9407
리눅스 서버 개발자(신입),아이페이지온,서버/백엔드,상시,,,"서울시 강남구 테헤란로14길5, 9층
지도보기·주소복사",대학교졸업(4년) 이상,"['C', 'C++', 'Linux', 'Network']",https://www.jumpit.co.kr/position/15942
게임엔진 엔지니어 백엔드 개발자,알리아스,서버/백엔드,"경남 김해시 관동로 14, 경남콘텐츠기업지원센터 102호
지도보기·주소복사",,,,상시,"['Unreal Engine', 'Unity', 'C++']",https://www.jumpit.co.kr/position/1413
[연구실험장비] 소프트웨어 개발자(서버 개발),제이오텍,서버/백엔드,상시,,,"대전광역시 유성구 테크노2로 153
지도보기·주소복사",대학교졸업(4년) 이상,"['Linux', 'DB', 'TCP/IP', 'C', 'C++', 'PHP', 'HTML5']",https://www.jumpit.co.kr/position/16579
[JNPMEDI] 프론트엔드 개발자 신입 모집,제이앤피메디,프론트엔드,상시,,,"인천 연수구 컨벤시아대로 165, 포스코타워 송도 31층
지도보기·주소복사",무관,"['React', 'JSX', 'Sass', 'GitHub Actions']",https://www.jumpit.co.kr/position/10505
"WEB 프론트엔드 개발자 (웹대시보드, 웹관리자)",씨케이스택,프론트엔드,상시,,,"경기 성남시 분당구 판교로255번길 9-22, 510-1호 판교우림W-CITY
지도보기·주소복사",대학교졸업(4년) 이상,"['React', 'jQuery', 'Vue.js', 'Swift', 'Kotlin']",https://www.jumpit.co.kr/position/1623
[IoTrust] 디센트 프론트엔드 개발,아이오트러스트,프론트엔드,상시,,,"서울 강남구 선릉로 747 삼성당빌딩 7층
지도보기·주소복사","대학졸업(2,3년) 이상","['Node.js', 'Vue.js', 'Webpack', 'Babel', 'Slack', 'Git', 'Visual Studio Code', 'HTML5', 'JavaScript', 'CSS 3']",https://www.jumpit.co.kr/position/11324
[기그] 프론트엔드 개발자 채용,커넥트핏,프론트엔드,상시,,,"서울특별시 영등포구 의사당대로 83, (오투타워) 여의도위워크 17층
지도보기·주소복사",무관,"['Flutter', 'SQLite', 'fastlane', 'gRPC', 'Protobuf', 'GitHub', 'MQTT']",https://www.jumpit.co.kr/position/4968
프론트엔드 개발자,더블미,프론트엔드,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
지도보기·주소복사",무관,"['Vue.js', 'React', 'REST API', 'TypeScript']",https://www.jumpit.co.kr/position/16514
Front-end Developer 전문연구요원 채용 (병역특례),스탠다임,프론트엔드,상시,,,"서울 강남구 논현로85길 70, 3층
지도보기·주소복사",석사졸업 이상,"['ES6', 'React', 'D3.js', 'Redux', 'Webpack', 'Babel', 'REST API', 'Git']",https://www.jumpit.co.kr/position/16863
웹 프론트엔드 (신입),유리프트,프론트엔드,상시,,,"서울시 강남구 강남대로 364 미왕빌딩 16층
지도보기·주소복사",무관,"['React', 'Git', 'Next.js', 'TypeScript', 'Firebase', 'HTML5', 'CSS 3', 'JavaScript']",https://www.jumpit.co.kr/position/12167
[서포티] Frontend 개발(신입/경력),린온컴퍼니,프론트엔드,상시,,,"서울 강남구 강남대로 364 13층 1302호
지도보기·주소복사",무관,"['React', 'React.js Boilerplate', 'Redux', 'JavaScript', 'HTML5', 'CSS 3', 'React Native']",https://www.jumpit.co.kr/position/8902
웹프론트엔드 및 백엔드 개발자 신입/경력 채용,엠투아이코퍼레이션,프론트엔드,상시,,,"경기도 안양시 동안구 시민대로 327번길 11-35
지도보기·주소복사",대학교졸업(4년) 이상,"['React', 'Node.js']",https://www.jumpit.co.kr/position/14544
[뉴링크] 프론트엔드 개발자 (신입),뉴링크,프론트엔드,상시,,,"서울시 강남구 학동로 31길 12
지도보기·주소복사",무관,"['Node.js', 'Java', 'JavaScript', 'Git', 'C#', 'Ajax', 'Python', 'Vue.js', 'React', 'AngularJS']",https://www.jumpit.co.kr/position/5335
프론트엔드 개발자,게임듀오,프론트엔드,상시,,,"경기 성남시 수정구 창업로 43 B동 907호
지도보기·주소복사",대학교졸업(4년) 이상,"['CSS 3', 'HTML5', 'JavaScript', 'REST API', 'ES6', 'React', 'TypeScript']",https://www.jumpit.co.kr/position/16880
[메셔] 프론트엔드 개발자,메셔,프론트엔드,상시,,,"서울시 강남구 도산대로 57길 8 승원빌딩 5층
지도보기·주소복사",대학교졸업(4년) 이상(졸업예정자 가능),"['JavaScript', 'ES6', 'React', 'TypeScript', 'HTML5', 'CSS 3']",https://www.jumpit.co.kr/position/14889
