공고명,회사명,직무,마감일,근무지,기술스택,링크
백엔드 개발자,더블미,DevOps,상시 채용,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·","[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16518
[알지티] Smart system engineer,알지티,DevOps,상시 채용,"서울 금천구 벚꽃로 234, 에이스하이엔드타워 6차, 802호
·","[""C / C++""]",https://www.jumpit.co.kr/position/8687
[해커스 교육그룹] 클라우드 엔지니어 채용,챔프스터디,DevOps,상시 채용,"서울 서초구 강남대로61길 23, 203호
·","[""Linux"", ""NoSQL"", ""Redis"", ""Redux"", ""Python"", ""PHP"", ""Java"", ""MySQL"", ""Cloud CMS""]",https://www.jumpit.co.kr/position/10459
[패스오더] DevOps Engineer (병역특례/산업기능요원/보충역/전직),페이타랩,DevOps,상시 채용,"서울 강남구 영동대로 85길 34, 6층
·","[""AWS"", ""Jenkins"", ""Docker"", ""MSA""]",https://www.jumpit.co.kr/position/6949
IT관리 담당자 채용,케이에스엠,DevOps,상시 채용,"경기 김포시 소래로 71
·","[""Linux""]",https://www.jumpit.co.kr/position/13076
[부산] Google Cloud / Work space / 솔루션 기술팀 채용,넷킬러,DevOps,상시 채용,"부산 남구 전포대로 133 BGIF 13층
·","[""GCP"", ""AWS""]",https://www.jumpit.co.kr/position/16211
[신입/경력] Linux 시스템 엔지니어,에이스랩,DevOps,상시 채용,"서울 강남구 언주로 81길 13 4층
·","[""C / C++"", ""GNU Bash"", ""Rust"", ""Shell"", ""AWS"", ""Python"", ""Linux""]",https://www.jumpit.co.kr/position/14241
온라인/모바일 게임서비스 시스템 엔지니어 (신입/경력),이스트게임즈,DevOps,상시 채용,"서울 서초구 반포대로 3, 5층
·","[""Linux"", ""MySQL"", ""MSSQL"", ""Python"", ""Apache"", ""Nginx"", ""AWS""]",https://www.jumpit.co.kr/position/1366
[신입/경력] 자율주행 플랫폼 엔지니어,에이스랩,DevOps,상시 채용,"서울 강남구 언주로 81길 13 4층
·","[""Python"", ""C / C++"", ""Linux"", ""Git""]",https://www.jumpit.co.kr/position/8345
[신입] 시스템 관리 엔지니어,매니코어소프트,DevOps,상시 채용,"서울 구로구 디지털로33길 11 에이스테크노타워8차
·","[""Linux""]",https://www.jumpit.co.kr/position/14192
[서울] Google Cloud / Work space / 솔루션 기술팀 채용,넷킬러,DevOps,상시 채용,"서울 중구 삼일대로 343, 8층
·","[""GCP"", ""AWS""]",https://www.jumpit.co.kr/position/16210
DEVOPS 엔지니어,바디프랜드,DevOps,2023-06-15,"서울 강남구 양재천로 163
·","[""Docker"", ""Git"", ""ELK"", ""K8S"", ""Redmine"", ""Linux"", ""Kubernetes""]",https://www.jumpit.co.kr/position/3456
서버/네트워크 구축 및 유지보수,씨엔비지넷,DevOps,2023-07-31,"서울 서초구 서운로 138, 6층
·","[""Linux""]",https://www.jumpit.co.kr/position/13560
리눅스 엔지니어,오픈소스컨설팅,DevOps,상시 채용,"서울 강남구 테헤란로83길 32, 5층
·","[""Linux"", ""Red Hat Enterprise Linux"", ""Ansible"", ""K8S"", ""Docker""]",https://www.jumpit.co.kr/position/10520
아틀라시안 엔지니어,오픈소스컨설팅,DevOps,상시 채용,"서울 강남구 테헤란로83길 32, 5층
·","[""JIRA"", ""Bitbucket"", ""Linux"", ""Git"", ""Apache""]",https://www.jumpit.co.kr/position/3662
Network Engineer,에스피케이인크,DevOps,상시 채용,"서울 용산구 대사관로 43
·","[""""]",https://www.jumpit.co.kr/position/13693
C 언어 개발자 경력/신입,쿤텍,DevOps,상시 채용,"경기 성남시 수정구 창업로 54, LH기업성장센터 나동 232호
·","[""C / C++"", ""Linux""]",https://www.jumpit.co.kr/position/15624
[물류ERP] Win-SABIS 운영 및 유지보수 (VB6 개발자),한국비즈넷,DevOps,상시 채용,"서울 구로구 디지털로29길 38, 301호(구로동, 에이스테크노타워3차)
·","[""MSSQL"", ""Java"", ""Spring""]",https://www.jumpit.co.kr/position/3841
K8S Product Support Engineer,에스피케이인크,DevOps,상시 채용,"서울 용산구 대사관로 43
·","[""Python"", ""Shell"", ""JavaScript""]",https://www.jumpit.co.kr/position/9765
시스템 서버 엔지니어,열림데이타시스템,DevOps,상시 채용,"서울 구로구 디지털로30길 28, 1206호
·","[""Linux"", ""MSSQL"", ""MySQL""]",https://www.jumpit.co.kr/position/2676
IaaS 기술지원팀 채용,이노그리드,DevOps,상시 채용,"서울 중구 을지로 100, B동 10층
·","[""Docker"", ""IBM Containers"", ""Linux"", ""Shell""]",https://www.jumpit.co.kr/position/13743
devops/시스템엔지니어 모집,인텍에프에이,DevOps,상시 채용,"경기 용인시 기흥구 탑실로35번길 63
·","[""Java"", ""C / C++"", ""Python"", ""Linux""]",https://www.jumpit.co.kr/position/14866
시스템 엔지니어(신입),아이페이지온,DevOps,상시 채용,"서울 강남구 테헤란로14길5, 9층
·","[""Linux""]",https://www.jumpit.co.kr/position/11118
이동통신(5G Access System) 네트워크 엔지니어 신입 채용,지엔텔,DevOps,상시 채용,"대전 중구 계룡로 825 8층
·","[""""]",https://www.jumpit.co.kr/position/16119
컴퓨터 비전 및 임베디드 시스템 프로그래머 모집,아고스비전,DevOps,상시 채용,"대전 유성구 유성대로 1689번길 8-7
·","[""Linux""]",https://www.jumpit.co.kr/position/15437
네트워크 관리 운영,아주큐엠에스,DevOps,상시 채용,"경기 용인시 수지구 용구대로 2771번길 85, 분당 IDC센터 4층 (신분당선 동천역)
·","[""""]",https://www.jumpit.co.kr/position/15487
매니지드 서비스,이노그리드,DevOps,상시 채용,"서울 중구 을지로 100, B동 10층
·","[""Linux"", ""MSA""]",https://www.jumpit.co.kr/position/15837
AMR System & Platform Engineer/Researcher,시스콘,DevOps,상시 채용,"인천 서구 로봇랜드로 155-30, 로봇R&D센터 4층
·","[""Docker"", ""OpenCV"", ""C / C++"", ""Python"", ""Linux""]",https://www.jumpit.co.kr/position/11839
Cloud 운영 개발자 모집,지니언스,DevOps,상시 채용,"경기 안양시 동안구 벌말로 66 평촌역 하이필드 A동 12층
·","[""Kubernetes"", ""AWS"", ""Linux"", ""Docker"", ""Terraform""]",https://www.jumpit.co.kr/position/15975
[청년친화강소기업] 케이웨더㈜ 데브옵스 채용,케이웨더,DevOps,상시 채용,"서울 구로구 디지털로26길 5
·","[""Docker"", ""Kubernetes"", ""K8S"", ""Hadoop"", ""HBase""]",https://www.jumpit.co.kr/position/13731
System Engineer,오비이랩,DevOps,상시 채용,"서울 강남구 테헤란로 312 13층
·","[""Python"", ""MATLAB"", ""MCU""]",https://www.jumpit.co.kr/position/16940
딥러닝 엔지니어(3D Reconstruction / Generation),한국딥러닝,VR/AR/3D,2023-06-11,"서울 서초구 강남대로 527, 브랜드칸 타워 6층
·","[""Git"", ""PyTorch"", ""Docker"", ""Kubernetes""]",https://www.jumpit.co.kr/position/16556
Unity 3D 개발자,라온메디,VR/AR/3D,상시 채용,"경기 성남시 분당구 판교로 723 B동 404호
·","[""Unity"", ""C#""]",https://www.jumpit.co.kr/position/13986
unreal 엔진 기반 AR 개발자,몽타미디어,VR/AR/3D,상시 채용,"서울 마포구 연남로13길9
·","[""""]",https://www.jumpit.co.kr/position/13482
[면접비 지급] 3D 머신비전 알고리즘 연구개발,트윔,VR/AR/3D,2023-06-16,"경기 화성시 삼성1로 4길 7-4
·","[""C / C++"", ""OpenCV""]",https://www.jumpit.co.kr/position/16717
[신입/경력] STO 플랫폼 서비스 블록체인 개발,블록체인글로벌,블록체인,2023-07-31,"서울 영등포구 여의나루로 57, 신송센터빌딩 10층
·","[""Java"", ""Kotlin"", ""Docker"", ""Kubernetes"", ""Hyperledger Fabric"", ""Go"", ""Node.js""]",https://www.jumpit.co.kr/position/16841
블록체인 엔지니어(Blockchain Engineer) 정규직 모집,스탬퍼,블록체인,상시 채용,"서울 강남구 테헤란로20길 9, 10층
·","[""Linux"", ""AWS"", ""GCP""]",https://www.jumpit.co.kr/position/13572
블록체인 게임 플랫폼 백오피스 프론트엔드 개발자,위메이드,블록체인,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""React"", ""Figma"", ""Angular"", ""Vue.JS""]",https://www.jumpit.co.kr/position/16077
블록체인 게임 플랫폼 백엔드 개발자,위메이드,블록체인,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""Go"", ""Java"", ""Node.js""]",https://www.jumpit.co.kr/position/14808
블록체인 게임 플랫폼 스마트 컨트랙트 개발자,위메이드,블록체인,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""""]",https://www.jumpit.co.kr/position/14807
언리얼엔진 클라이언트 개발자,버들,블록체인,상시 채용,"서울 강남구 봉은사로 541 10층
·","[""C / C++""]",https://www.jumpit.co.kr/position/15822
