공고명,회사명,직무,마감일,근무지,기술스택,링크
[CARENATION] 백엔드 개발자(Php),에이치엠씨네트웍스,백엔드,상시 채용,"서울 강남구 테헤란로8길 37(역삼동) 한동빌딩 5층
·","[""MySQL"", ""MariaDB"", ""HTML"", ""CSS"", ""jQuery"", ""Spring"", ""PHP""]",https://www.jumpit.co.kr/position/11538
[MiNER] 서버 개발자,마이너,백엔드,상시 채용,"서울 관악구 호암로 597
·","[""JavaScript"", ""Node.js"", ""Flask"", ""Django"", ""Apache"", ""MySQL"", ""ExpressJS"", ""Git""]",https://www.jumpit.co.kr/position/8775
클라우드/MSA/A.I. 플랫폼 개발자,시프트원,백엔드,상시 채용,"서울 강남구 역삼로17길 9, 201호 / 동탄 (S전자) / 정자 (OO하이닉스)
·","[""Kubernetes"", ""Python"", ""Go"", ""Git"", ""Argo"", ""Docker"", ""MSA""]",https://www.jumpit.co.kr/position/4334
서버/백엔드 개발자 정규직 신입 채용,디지타이드,백엔드,상시 채용,"서울 종로구 사직로8길 34, 718호
·","[""Linux"", ""C / C++""]",https://www.jumpit.co.kr/position/4664
블록체인 엔지니어(Blockchain Engineer) 정규직 모집,스탬퍼,백엔드,상시 채용,"서울 강남구 테헤란로20길 9, 10층
·","[""Linux"", ""AWS"", ""GCP""]",https://www.jumpit.co.kr/position/13572
AI 인프라 서비스 개발자,애자일소다,백엔드,상시 채용,"서울 강남구 선릉로 525 인포스톰 3층
·","[""Java"", ""Python"", ""TypeScript"", ""Spring"", ""Flask"", ""Node.js""]",https://www.jumpit.co.kr/position/16543
[팬플러스] 백엔드(Node.js) 개발자 병역특례_보충역 모집,팬마음,백엔드,상시 채용,"서울 강남구 역삼로3길 17-6, 10층
·","[""AWS"", ""Node.js"", ""Git""]",https://www.jumpit.co.kr/position/9205
전자결제서비스(PG) PHP 개발자 모집,유디아이디,백엔드,상시 채용,"서울 구로구 디지털로 26길 61, 1202호
·","[""PHP"", ""MySQL"", ""MongoDB"", ""Git"", ""JavaScript"", ""jQuery""]",https://www.jumpit.co.kr/position/7718
C# 개발자,넥서스커뮤니티,백엔드,상시 채용,"서울 영등포구 여의대로 108 파크원 타워2 19층
·","[""MariaDB"", ""C#""]",https://www.jumpit.co.kr/position/10619
[ESTsoft] 백엔드 개발자 (신입),이스트소프트,백엔드,상시 채용,"서울 서초구 반포대로 3
·","[""Spring"", ""Java"", ""Kotlin"", ""Python"", ""MariaDB"", ""MongoDB"", ""Redis""]",https://www.jumpit.co.kr/position/16756
[신입] 백엔드 개발자,엔엑스테크놀로지,백엔드,상시 채용,"울산 울주군 범서읍 대리2길 57, 5층 (OS빌딩), 서울 마포구 월드컵북로 396 누리꿈스퀘어 R&D타워 1104호
·","[""Node.js"", ""MongoDB"", ""AWS"", ""Docker"", ""Java"", ""NoSQL"", ""Linux""]",https://www.jumpit.co.kr/position/7936
[인터뷰박스x알고리즘잡스] 부트캠프 IT강사 채용,에이블제이,백엔드,상시 채용,"서울 강남구 테헤란로1길 28-9, 성은빌딩 4층
·","[""Java"", ""Spring"", ""MySQL"", ""jQuery"", ""AWS"", ""Mybatis""]",https://www.jumpit.co.kr/position/15895
[PAY] C# 백엔드 개발자,콰가,백엔드,상시 채용,"서울 강서구 마곡중앙로 165
·","[""MSSQL"", ""C#""]",https://www.jumpit.co.kr/position/3165
블록체인 게임 플랫폼 백엔드 개발자,위메이드,백엔드,2023-06-30,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·","[""Go"", ""Java"", ""Node.js""]",https://www.jumpit.co.kr/position/14808
보안 솔루션 및 플랫폼 개발자 채용,모니터랩,백엔드,상시 채용,"서울 구로구 디지털로 27가길 27 아남빌딩 8, 9층
·","[""C / C++"", ""Go"", ""Linux"", ""Kubernetes"", ""Docker"", ""Git"", ""Java"", ""Python""]",https://www.jumpit.co.kr/position/3973
Node 서버 개발자(병역특례_보충역 지원가능),아이티엘,백엔드,상시 채용,"서울 서초구 바우뫼로 175, 4층,5층(양재동,창덕빌딩)
·","[""JavaScript"", ""Git"", ""Docker"", ""AWS"", ""MySQL"", ""Node.js""]",https://www.jumpit.co.kr/position/6609
JAVA 개발자 경력직 모집,에코앤파트너스,백엔드,상시 채용,"서울 강서구 마곡중앙1로 14 (마곡동, M밸리 W TOWER Ⅳ) 6층
·","[""Java"", ""JavaScript"", ""Spring"", ""MSSQL"", ""MySQL""]",https://www.jumpit.co.kr/position/14243
[O2pluss] Back-end 개발자 추가 모집,오투플러스,백엔드,상시 채용,"경기 용인시 수지구 신수로 767, A동 22층
·","[""PHP"", ""MySQL"", ""ElasticSearch""]",https://www.jumpit.co.kr/position/6812
