,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
176,클라우드 / AI R&D 연구원 (정부연구과제 전담(전문연구요원 가능)),오케스트로,인공지능(AI),상시 채용,정규직,,"서울특별시 영등포구 여의대로 108, 43층(여의도동, 파크원타워2)",,"['Python', 'R', 'SQL']",https://programmers.co.kr/job_positions/15223
177,[현대자동차 사내벤처 (주)피트릭스] 유니티(unity 3D) 개발자,피트릭스,"프론트엔드, 게임 클라이언트, VR/AR/3D",상시 채용,정규직,,"서울 강남구 역삼로17길 10, (역삼동) 부강빌딩 1층 피트릭스",,"['C#', 'C++', 'Unity']",https://programmers.co.kr/job_positions/6258
178,CSMS(Cyber Security Management System) 구축,그리드위즈,"시스템/네트워크, 시스템 소프트웨어, 인터넷 보안",상시 채용,정규직,,"경기 성남시 수정구 대왕판교로 907, (시흥동) 그리드위즈 블루동",,"['Linux', 'Embedded System', 'C++', 'C']",https://programmers.co.kr/job_positions/16772
179,소프트웨어 스택 개발,그리드위즈,"데이터 엔지니어링, 시스템/네트워크, 임베디드 소프트웨어",상시 채용,정규직,,"경기 성남시 수정구 대왕판교로 907, (시흥동) 그리드위즈 블루동",,"['C', 'C++', 'Embedded System', 'Linux']",https://programmers.co.kr/job_positions/16757
180,[바람의나라 연] 서버 프로그래머,슈퍼캣,"모바일 게임, 게임 서버",상시 채용,정규직,,"경기 성남시 분당구 분당로 55, (서현동) 퍼스트타워 12, 13F",,,https://programmers.co.kr/job_positions/9879
181,[바람의나라 연] 전투컨텐츠 프로그래머,슈퍼캣,"모바일 게임, 게임 클라이언트, 게임 서버",상시 채용,정규직,,"경기 성남시 분당구 분당로 55, (서현동) 퍼스트타워 12, 13F",,,https://programmers.co.kr/job_positions/9877
182,모바일 Android/ iOS App 개발,코콤,"안드로이드, iOS",상시 채용,정규직,,서울시 강서구 마곡중앙8로5길 16,,"['iOS', 'Android']",https://programmers.co.kr/job_positions/15806
183,포렌식 제품개발자,지엠디소프트,"인공지능(AI), 응용 프로그램, VR/AR/3D",상시 채용,정규직,3800 ~ 8000 만원,"경기 성남시 분당구 판교역로 235, (삼평동) H스퀘어 N동 2층",,"['WPF', 'Windows', 'FFmpeg', 'OpenCV', 'JIRA']",https://programmers.co.kr/job_positions/16660
184,"[인포보스]솔루션개발팀(Front-end, Back-end / 산업기능요원, 전문연구요원 가능)",인포보스,"서버/백엔드, 프론트엔드, 응용 프로그램",상시 채용,정규직,,서울시 강남구 삼성동 1-4번지 해운빌딩 301호,,"['Python', 'MySQL', 'PHP', 'HTML', 'CSS', 'JavaScript', 'C', 'Java']",https://programmers.co.kr/job_positions/12425
185,Flutter 앱 개발자 (Android/iOS),비디오몬스터,"안드로이드, iOS",상시 채용,정규직,5000 ~ 7000 만원,"서울 마포구 백범로31길 21, (공덕동) 본관 707호",,"['flutter', 'Dart', 'iOS', 'Swift', 'Java', 'Android', 'Kotlin']",https://programmers.co.kr/job_positions/9869
186,제조산업을 위한 인공지능 응용 소프트웨어 엔지니어,인텔리즈,"서버/백엔드, 프론트엔드, 머신러닝",상시 채용,정규직,3400 ~ 9000 만원,"서울 성동구 성수일로 89, (성수동1가) ",,"['C++', 'Python', 'Java', 'C#', 'Node.js', 'dlib', 'PyTorch', 'Deep Learning']",https://programmers.co.kr/job_positions/13001
187,"타입스크립트, 노드제이에스, 그래프큐엘, 마이에스큐엘 개발자(typescript, nodejs, graphQL, MySQL)",오너클랜,"서버/백엔드, 프론트엔드",상시 채용,정규직,,"서울 서초구 강남대로99길 23-8, (잠원동) ",,"['Java', 'MySQL', 'Node.js', 'PHP']",https://programmers.co.kr/job_positions/11056
188,Data Platform Software Engineer (Senior/Junior),데브시스터즈,데이터 엔지니어링,상시 채용,정규직,,"서울 강남구 선릉로 832, (청담동) ",,"['Python', 'Scala', 'Java', 'Go']",https://programmers.co.kr/job_positions/10133
